dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
99,킹크랩,1,Water,,Pincer Pokemon,1.3,60,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,2 Attack,60,50,166,Medium Fast,Water 3,,50,50,20,Ordinary
100,찌리리공,1,Electric,,Ball Pokemon,0.5,10.4,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,1 Speed,190,50,66,Medium Fast,Mineral,,,,20,Ordinary
101,붐볼,1,Electric,,Ball Pokemon,1.2,66.6,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,2 Speed,60,50,172,Medium Fast,Mineral,,,,20,Ordinary
102,아라리,1,Grass,Psychic,Egg Pokemon,0.4,2.5,Chlorophyll,Harvest,,60,40,80,60,45,40,325,1 Defense,90,50,65,Slow,Grass,,50,50,20,Ordinary
103,나시,1,Grass,Psychic,Coconut Pokemon,2,120,Chlorophyll,Harvest,,95,95,85,125,75,55,530,2 Sp. Atk,45,50,186,Slow,Grass,,50,50,20,Ordinary
104,탕구리,1,Ground,,Lonely Pokemon,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,1 Defense,190,50,64,Medium Fast,Monster,,50,50,20,Ordinary
105,텅구리,1,Ground,,Bone Keeper Pokemon,1,45,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,2 Defense,75,50,149,Medium Fast,Monster,,50,50,20,Ordinary
106,시라소몬,1,Fighting,,Kicking Pokemon,1.5,49.8,Limber,Reckless,Unburden,50,120,53,35,110,87,455,2 Attack,45,50,159,Medium Fast,Human-Like,,100,0,25,Ordinary
107,홍수몬,1,Fighting,,Punching Pokemon,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,2 Sp. Def,45,50,159,Medium Fast,Human-Like,,100,0,25,Ordinary
108,내루미,1,Normal,,Licking Pokemon,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,2 HP,45,50,77,Medium Fast,Monster,,50,50,20,Ordinary
109,또가스,1,Poison,,Poison Gas Pokemon,0.6,1,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,1 Defense,190,50,68,Medium Fast,Amorphous,,50,50,20,Ordinary
110,또도가스,1,Poison,,Poison Gas Pokemon,1.2,9.5,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,2 Defense,60,50,172,Medium Fast,Amorphous,,50,50,20,Ordinary
111,뿔카노,1,Ground,Rock,Spikes Pokemon,1,115,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,1 Defense,120,50,69,Slow,Field ,Monster,50,50,20,Ordinary
112,코뿌리,1,Ground,Rock,Drill Pokemon,1.9,120,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,2 Attack,60,50,170,Slow,Field ,Monster,50,50,20,Ordinary
113,럭키,1,Normal,,Egg Pokemon,1.1,34.6,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,2 HP,30,140,395,Fast,Fairy,,0,100,40,Ordinary
114,덩쿠리,1,Grass,,Vine Pokemon,1,35,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,1 Defense,45,50,87,Medium Fast,Grass,,50,50,20,Ordinary
115,캥카,1,Normal,,Parent Pokemon,2.2,80,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,2 HP,45,50,172,Medium Fast,Monster,,0,100,20,Ordinary
116,쏘드라,1,Water,,Dragon Pokemon,0.4,8,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,1 Sp. Atk,225,50,59,Medium Fast,Dragon ,Water 1,50,50,20,Ordinary
117,시드라,1,Water,,Dragon Pokemon,1.2,25,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,"1 Defense, 1 Sp. Atk",75,50,154,Medium Fast,Dragon ,Water 1,50,50,20,Ordinary
118,콘치,1,Water,,Goldfish Pokemon,0.6,15,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,1 Attack,225,50,64,Medium Fast,Water 2,,50,50,20,Ordinary
119,왕콘치,1,Water,,Goldfish Pokemon,1.3,39,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,2 Attack,60,50,158,Medium Fast,Water 2,,50,50,20,Ordinary
120,별가사리,1,Water,,Star Shape Pokemon,0.8,34.5,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,1 Speed,225,50,68,Slow,Water 3,,,,20,Ordinary
121,아쿠스타,1,Water,Psychic,Mysterious Pokemon,1.1,80,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,2 Speed,60,50,182,Slow,Water 3,,,,20,Ordinary
122,마임맨,1,Psychic,Fairy,Barrier Pokemon,1.3,54.5,Soundproof,Filter,Technician,40,45,65,100,120,90,460,2 Sp. Def,45,50,161,Medium Fast,Human-Like,,50,50,25,Ordinary
123,스라크,1,Bug,Flying,Mantis Pokemon,1.5,56,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,1 Attack,45,50,100,Medium Fast,Bug,,50,50,25,Ordinary
124,루주라,1,Ice,Psychic,Human Shape Pokemon,1.4,40.6,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,2 Sp. Atk,45,50,159,Medium Fast,Human-Like,,0,100,25,Ordinary
125,에레브,1,Electric,,Electric Pokemon,1.1,30,Static,Vital Spirit,,65,83,57,95,85,105,490,2 Speed,45,50,172,Medium Fast,Human-Like,,75,25,25,Ordinary
126,마그마,1,Fire,,Spitfire Pokemon,1.3,44.5,Flame Body,Vital Spirit,,65,95,57,100,85,93,495,2 Sp. Atk,45,50,173,Medium Fast,Human-Like,,75,25,25,Ordinary
127,쁘사이저,1,Bug,,Stag Beetle Pokemon,1.5,55,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,2 Attack,45,50,175,Slow,Bug,,50,50,25,Ordinary
128,켄타로스,1,Normal,,Wild Bull Pokemon,1.4,88.4,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,"1 Attack, 1 Speed",45,50,172,Slow,Field,,100,0,20,Ordinary
129,잉어킹,1,Water,,Fish Pokemon,0.9,10,Swift Swim,Rattled,,20,10,55,15,20,80,200,1 Speed,255,50,40,Slow,Dragon ,Water 2,50,50,5,Ordinary
130,갸라도스,1,Water,Flying,Atrocious Pokemon,6.5,235,Intimidate,Moxie,,95,125,79,60,100,81,540,2 Attack,45,50,189,Slow,Dragon ,Water 2,50,50,5,Ordinary
131,라프라스,1,Water,Ice,Transport Pokemon,2.5,220,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,2 HP,45,50,187,Slow,Monster ,Water 1,50,50,40,Ordinary
132,메타몽,1,Normal,,Transform Pokemon,0.3,4,Limber,Imposter,,48,48,48,48,48,48,288,1 HP,35,50,101,Medium Fast,Ditto,,,,20,Ordinary
133,이브이,1,Normal,,Evolution Pokemon,0.3,6.5,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,1 Sp. Def,45,50,65,Medium Fast,Field,,87.5,12.5,35,Ordinary
134,샤미드,1,Water,,Bubble Jet Pokemon,1,29,Water Absorb,Hydration,,130,65,60,110,95,65,525,2 HP,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
